overall,potential,release_clause_eur,club_name,club_position,league_level,weak_foot,skill_moves,international_reputation,body_type,value_eur,log_value
79,79,34000000.0,561,23,1.0,2,5,3,4,17000000,16.648723960844016
82,85,63900000.0,357,16,1.0,3,4,3,2,36000000,17.399029524198163
87,89,183700000.0,139,17,1.0,3,3,4,4,93000000,18.34811006187022
84,87,103000000.0,378,7,1.0,5,3,3,5,53500000,17.795192230557824
82,82,50200000.0,408,16,1.0,3,3,3,4,29500000,17.19990085520835
80,80,14300000.0,414,14,1.0,4,3,3,4,7500000,15.830413711839864
80,80,42800000.0,646,0,1.0,4,5,3,4,22500000,16.929025911619092
80,83,54300000.0,275,0,1.0,4,4,1,7,27500000,17.129696599000436
83,86,89200000.0,561,17,1.0,4,3,3,5,43000000,17.57671069691365
80,80,43100000.0,281,8,1.0,3,3,1,4,20500000,16.835935492889124
79,79,31500000.0,129,22,1.0,4,2,1,1,18500000,16.733281344102608
90,92,302200000.0,378,22,1.0,3,3,5,9,157000000,18.871756369682007
84,84,44375000.0,428,15,1.0,3,3,3,5,35500000,17.385043282614657
80,85,58300000.0,420,9,1.0,4,3,1,4,29500000,17.19990085520835
78,78,11100000.0,31,22,1.0,4,3,3,9,6500000,15.687312888712007
79,79,11600000.0,467,7,1.0,3,3,2,2,5500000,15.520258832020865
83,83,62100000.0,79,16,1.0,3,3,3,4,36500000,17.41282284594998
84,89,138100000.0,64,10,1.0,4,3,3,1,63500000,17.96655047961095
82,87,81700000.0,79,13,1.0,3,4,3,5,46000000,17.6441519761925
84,86,92300000.0,79,23,1.0,4,3,3,1,52000000,17.76675429577647
79,82,47700000.0,563,10,1.0,4,3,1,4,23000000,16.951004817371683
85,85,57400000.0,485,23,1.0,3,3,4,9,28000000,17.147715103853763
81,81,33600000.0,64,23,1.0,4,3,3,4,16000000,16.588099342704055
78,81,32799999.0,90,23,1.0,4,3,1,4,18500000,16.733281344102608
79,83,50800000.0,517,17,1.0,3,3,1,5,24500000,17.01418371633128
83,83,45100000.0,408,14,1.0,4,3,3,4,26500000,17.0926553286923
87,90,215300000.0,139,0,1.0,3,4,4,2,109000000,18.50685844936773
81,82,64200000.0,488,17,1.0,3,3,3,1,29500000,17.19990085520835
81,85,61200000.0,408,23,1.0,3,2,3,1,34500000,17.356469910987094
79,79,27200000.0,498,10,1.0,3,4,3,4,16000000,16.588099342704055
82,85,71000000.0,59,23,1.0,3,3,3,4,40000000,17.50439003707821
79,79,21300000.0,629,9,1.0,2,3,2,4,12500000,16.341239282272525
82,84,75100000.0,420,0,1.0,3,4,3,4,38000000,17.453096744006448
84,85,76300000.0,338,16,1.0,4,3,3,5,43000000,17.57671069691365
84,84,61100000.0,330,14,1.0,3,2,3,5,37000000,17.426428497635523
80,80,29500000.0,58,6,1.0,1,3,2,9,15500000,16.5563506464056
81,81,36600000.0,79,8,1.0,4,2,3,5,21500000,16.88356353960952
84,87,107300000.0,485,9,1.0,3,3,3,2,50500000,17.73748391404757
87,87,135200000.0,93,22,1.0,4,3,4,5,79500000,18.191267592203175
78,78,29400000.0,515,13,1.0,4,3,1,5,14000000,16.454567959008102
84,84,68900000.0,357,12,1.0,4,4,3,4,40500000,17.516812556768127
81,81,20400000.0,59,16,1.0,3,3,3,5,12000000,16.300417291085605
74,74,6300000.0,7,6,1.0,3,3,1,5,3700000,15.123843647884687
81,81,53600000.0,488,0,1.0,3,4,3,2,25500000,17.05418904934434
80,80,30600000.0,261,10,1.0,3,3,3,4,18000000,16.705882371415992
85,85,97100000.0,442,8,1.0,3,3,3,2,52500000,17.77632374660947
77,77,20000000.0,548,8,2.0,3,3,1,6,10500000,16.166885910365842
84,84,79800000.0,598,18,1.0,4,4,3,1,42000000,17.553180200057167
80,80,11900000.0,93,16,1.0,4,3,3,1,7000000,15.76142084987672
79,79,11600000.0,60,6,1.0,3,3,2,4,5500000,15.520258832020865
80,80,25600000.0,216,23,1.0,2,4,3,3,15500000,16.5563506464056
82,82,45400000.0,216,14,1.0,3,3,3,1,27500000,17.129696599000436
78,78,4700000.0,331,6,1.0,3,3,3,9,3100000,14.946912992035967
73,73,4500000.0,249,0,1.0,5,3,1,4,3200000,14.978661680269907
82,86,87900000.0,58,10,1.0,4,4,3,5,44500000,17.61099976960838
81,81,36600000.0,42,10,1.0,4,4,3,1,21500000,16.88356353960952
85,91,171200000.0,442,21,1.0,4,5,3,4,83500000,18.24035720179713
85,85,96500000.0,330,20,1.0,4,3,3,5,58500000,17.8845373292961
82,83,56800000.0,466,6,1.0,2,3,3,4,32000000,17.281246492014
87,88,179000000.0,56,22,1.0,4,3,4,8,93000000,18.34811006187022
80,87,53750000.0,517,23,1.0,4,3,1,4,43000000,17.57671069691365
81,81,40900000.0,258,0,1.0,4,4,3,2,21500000,16.88356353960952
81,87,79800000.0,99,17,1.0,3,3,3,4,38000000,17.453096744006448
77,77,15300000.0,279,0,1.0,4,4,2,3,8500000,15.955576839107596
84,87,115500000.0,598,23,1.0,3,4,3,1,58500000,17.8845373292961
78,78,16200000.0,596,6,1.0,3,3,2,5,9500000,16.066802461833923
85,85,68400000.0,579,2,1.0,3,3,3,5,36000000,17.399029524198163
86,86,96100000.0,498,13,1.0,3,5,4,9,56500000,17.849751213815786
84,84,78200000.0,9,13,1.0,5,4,3,1,46000000,17.6441519761925
75,75,2400000.0,88,14,1.0,4,3,1,4,1700000,14.346139397261565
83,83,36000000.0,39,10,1.0,4,4,3,9,22500000,16.929025911619092
83,83,63000000.0,60,19,1.0,3,4,3,2,30000000,17.216707972959764
78,79,20625000.0,527,23,1.0,4,4,1,4,16500000,16.61887099947687
80,80,27600000.0,422,19,1.0,3,3,2,1,14500000,16.489659276356317
82,86,79900000.0,371,6,1.0,3,3,3,4,41500000,17.541204009297314
79,84,47000000.0,498,8,1.0,3,4,2,2,26500000,17.0926553286923
75,75,8500000.0,573,0,2.0,5,3,1,7,4700000,15.363073279446223
80,83,55500000.0,467,19,1.0,3,2,1,1,25500000,17.05418904934434
85,85,64500000.0,373,22,1.0,5,4,3,9,43000000,17.57671069691365
85,85,29600000.0,36,17,1.0,3,2,3,9,18500000,16.733281344102608
79,79,10500000.0,108,14,1.0,2,3,3,9,5500000,15.520258832020865
82,82,20000000.0,634,8,1.0,4,3,3,4,9500000,16.066802461833923
78,83,26250000.0,428,23,1.0,4,3,1,2,21000000,16.860033043306743
85,85,89900000.0,216,10,1.0,4,4,3,9,54500000,17.813711277982097
81,81,43400000.0,8,8,1.0,3,4,2,4,25500000,17.05418904934434
83,83,55500000.0,378,18,1.0,4,3,3,4,30000000,17.216707972959764
75,78,16300000.0,620,23,1.0,4,3,1,7,7500000,15.830413711839864
77,77,22100000.0,11,16,1.0,4,4,1,3,10500000,16.166885910365842
78,78,16100000.0,88,8,1.0,4,4,3,4,11500000,16.257857680289998
85,88,137600000.0,378,23,1.0,3,4,3,9,71500000,18.08520802165025
79,80,36600000.0,378,14,1.0,3,3,1,1,19000000,16.759949589762293
83,83,31400000.0,275,23,1.0,4,3,3,4,16500000,16.61887099947687
80,87,84100000.0,442,23,1.0,4,3,1,4,41000000,17.529082649058825
79,79,35700000.0,281,2,1.0,3,3,2,1,17000000,16.648723960844016
82,82,30400000.0,35,10,1.0,5,4,3,4,19000000,16.759949589762293
78,86,72500000.0,488,23,1.0,3,4,1,2,31500000,17.265498135541893
76,76,10800000.0,279,23,1.0,4,4,3,7,6000000,15.607270193858982
84,85,95300000.0,371,10,1.0,4,4,3,2,49500000,17.71748324774094
79,82,52200000.0,488,23,1.0,3,4,1,4,24000000,16.993564429978885
78,79,37500000.0,193,0,1.0,3,3,1,1,16500000,16.61887099947687
80,87,89300000.0,139,23,1.0,3,3,1,4,42500000,17.565014657424058
81,87,86300000.0,64,16,1.0,2,3,1,1,37500000,17.439851517607305
84,84,79800000.0,58,22,1.0,4,3,3,4,42000000,17.553180200057167
86,88,151800000.0,216,19,1.0,2,4,3,1,88000000,18.292847383806116
79,79,18700000.0,59,23,1.0,3,3,2,1,11000000,16.213405921671733
79,79,9300000.0,98,17,1.0,3,3,3,4,4900000,15.404745967162468
83,87,87600000.0,56,2,1.0,4,3,3,4,45500000,17.6332229058992
79,82,38200000.0,338,10,1.0,5,3,2,1,21500000,16.88356353960952
82,82,40700000.0,371,23,1.0,2,3,3,9,22000000,16.906553056777135
81,81,45100000.0,485,23,1.0,5,4,3,9,22000000,16.906553056777135
81,81,42800000.0,166,14,1.0,3,3,3,1,22500000,16.929025911619092
79,79,25500000.0,93,7,1.0,4,3,2,5,15000000,16.52356082573315
74,74,9200000.0,434,9,1.0,3,4,1,4,4200000,15.250595321348806
80,80,28900000.0,330,23,1.0,4,3,3,4,17500000,16.677711496036597
83,84,80900000.0,56,23,1.0,4,4,3,4,42000000,17.553180200057167
83,85,88900000.0,379,12,1.0,4,4,3,1,45000000,17.622173069956816
75,80,17400000.0,484,23,1.0,3,3,1,2,8000000,15.894952224644102
83,85,83700000.0,64,7,1.0,3,2,3,2,38500000,17.46616882523204
84,84,55700000.0,484,23,1.0,4,4,3,4,26500000,17.0926553286923
78,78,5600000.0,88,23,1.0,4,3,3,1,4000000,15.201805169084134
76,76,7500000.0,631,21,1.0,4,3,1,4,6000000,15.607270193858982
82,82,48800000.0,35,19,1.0,3,4,3,7,30500000,17.233237274364523
79,84,43500000.0,357,3,1.0,4,3,3,1,24500000,17.01418371633128
78,84,35200000.0,27,8,1.0,5,3,1,4,22000000,16.906553056777135
83,83,74600000.0,96,0,1.0,4,4,3,4,35500000,17.385043282614657
75,75,7500000.0,121,8,1.0,4,3,1,5,6000000,15.607270193858982
79,79,27600000.0,12,23,1.0,4,3,1,1,14500000,16.489659276356317
79,79,31500000.0,484,17,1.0,3,4,2,1,15000000,16.52356082573315
77,77,6600000.0,79,23,1.0,4,4,3,4,3900000,15.176487367510099
78,79,31100000.0,517,18,1.0,4,3,1,4,15000000,16.52356082573315
79,79,32299999.0,17,10,1.0,4,4,3,1,17000000,16.648723960844016
78,78,30800000.0,332,6,1.0,5,3,1,5,14000000,16.454567959008102
79,79,18900000.0,426,14,1.0,3,3,1,4,9000000,16.012735246411598
83,83,58700000.0,408,2,1.0,4,3,3,3,34500000,17.356469910987094
82,83,58300000.0,17,8,1.0,3,3,3,5,29500000,17.19990085520835
78,78,18800000.0,202,8,1.0,3,3,1,3,12500000,16.341239282272525
80,83,57300000.0,98,0,1.0,3,4,1,1,29000000,17.182806422433504
80,80,29800000.0,197,23,1.0,3,3,3,2,17500000,16.677711496036597
82,82,27600000.0,414,15,1.0,3,2,3,5,14500000,16.489659276356317
85,88,112700000.0,93,18,1.0,2,2,3,5,63500000,17.96655047961095
86,86,33000000.0,331,20,1.0,4,4,4,9,22000000,16.906553056777135
74,74,6100000.0,484,23,1.0,3,3,2,4,2900000,14.88022163978423
77,77,20000000.0,58,23,1.0,4,4,2,7,10500000,16.166885910365842
79,79,9000000.0,331,11,1.0,4,3,3,9,6000000,15.607270193858982
83,86,97800000.0,414,12,1.0,3,3,3,1,49500000,17.71748324774094
77,77,13125000.0,286,8,1.0,3,4,3,1,10500000,16.166885910365842
90,90,105500000.0,371,7,1.0,3,2,5,9,57000000,17.858561843342684
74,75,8700000.0,369,6,1.0,2,3,1,4,4400000,15.29711532616119
80,83,55800000.0,371,23,1.0,4,4,1,9,29000000,17.182806422433504
80,80,34000000.0,59,8,1.0,4,4,3,5,20000000,16.811242881518265
76,76,12800000.0,40,19,1.0,2,3,1,4,7500000,15.830413711839864
80,80,31500000.0,60,17,1.0,3,3,3,1,15000000,16.52356082573315
76,81,22700000.0,428,17,1.0,4,4,1,0,11500000,16.257857680289998
73,73,5000000.0,600,23,1.0,3,3,1,4,2500000,14.731801689838349
75,84,23800000.0,129,16,1.0,3,3,1,5,12500000,16.341239282272525
80,84,56300000.0,598,23,1.0,3,3,3,5,28500000,17.1654146803266
79,82,31000000.0,436,6,1.0,3,4,1,1,21000000,16.860033043306743
79,81,39500000.0,99,23,1.0,4,3,3,4,20000000,16.811242881518265
74,75,7200000.0,496,23,1.0,4,3,1,1,4900000,15.404745967162468
74,77,6875000.0,90,23,1.0,4,3,1,5,5500000,15.520258832020865
78,83,34600000.0,42,9,1.0,3,3,1,2,19500000,16.785925074816024
77,77,17100000.0,166,23,1.0,3,3,1,4,9000000,16.012735246411598
78,78,25500000.0,466,14,1.0,4,3,2,7,15000000,16.52356082573315
79,80,31500000.0,218,13,1.0,4,4,1,4,20000000,16.811242881518265
78,79,28400000.0,629,0,1.0,3,4,2,1,16000000,16.588099342704055
84,85,97200000.0,378,12,1.0,3,4,3,4,50500000,17.73748391404757
77,78,21300000.0,213,23,1.0,3,4,1,1,12000000,16.300417291085605
80,81,40500000.0,598,23,1.0,4,3,3,2,20500000,16.835935492889124
74,79,10700000.0,157,9,1.0,3,3,1,1,6000000,15.607270193858982
77,78,27200000.0,620,23,1.0,3,3,1,5,12500000,16.341239282272525
77,77,11875000.0,420,23,1.0,3,3,2,1,9500000,16.066802461833923
78,78,23800000.0,527,17,1.0,3,3,1,5,14000000,16.454567959008102
77,78,15625000.0,428,23,1.0,3,3,1,1,12500000,16.341239282272525
78,78,26600000.0,258,23,1.0,3,3,1,4,14000000,16.454567959008102
81,82,51400000.0,379,18,1.0,3,3,3,4,26000000,17.073607134447293
79,79,26600000.0,17,23,1.0,4,5,3,9,14000000,16.454567959008102
76,76,7700000.0,66,23,1.0,4,3,3,4,3500000,15.068273812173887
83,83,50400000.0,634,23,1.0,3,3,3,2,24000000,16.993564429978885
78,79,25100000.0,35,18,1.0,3,4,1,1,15000000,16.52356082573315
76,76,11100000.0,42,23,1.0,3,3,1,4,6500000,15.687312888712007
72,72,3700000.0,603,23,2.0,4,3,1,3,2300000,14.648420115681892
82,82,46800000.0,625,6,1.0,2,3,3,4,27500000,17.129696599000436
74,74,7000000.0,80,8,1.0,4,3,1,3,4500000,15.319588176962746
81,81,46200000.0,620,6,1.0,3,4,3,1,22000000,16.906553056777135
82,84,78900000.0,517,20,1.0,4,3,3,5,38000000,17.453096744006448
75,75,6200000.0,496,3,1.0,4,4,1,1,4400000,15.29711532616119
73,73,3300000.0,639,6,1.0,3,3,1,4,2200000,14.603968372873895
80,86,64099999.0,414,23,1.0,3,2,1,4,30500000,17.233237274364523
77,77,22100000.0,488,23,1.0,4,3,2,4,10500000,16.166885910365842
77,77,10500000.0,542,9,1.0,2,3,3,5,5000000,15.424948670398354
78,78,18800000.0,341,9,1.0,4,3,1,1,12500000,16.341239282272525
76,76,4300000.0,451,23,1.0,3,5,3,1,2400000,14.690979711984754
85,85,0.0,39,22,1.0,4,5,3,9,0,0.0
74,74,2900000.0,639,23,1.0,3,4,1,4,1900000,14.45736497045232
77,78,24700000.0,203,0,1.0,3,3,1,9,12500000,16.341239282272525
75,82,26500000.0,515,16,1.0,4,4,1,7,11500000,16.257857680289998
77,77,15300000.0,357,23,1.0,4,3,2,4,9000000,16.012735246411598
77,77,12100000.0,264,6,1.0,3,3,1,1,5500000,15.520258832020865
82,82,31500000.0,197,23,1.0,4,4,3,4,18500000,16.733281344102608
75,75,6000000.0,572,14,1.0,3,3,2,4,4800000,15.38412668421143
81,81,43400000.0,28,22,1.0,3,3,1,5,25500000,17.05418904934434
74,74,1300000.0,496,23,1.0,4,3,1,3,925000,13.73755009757506
79,81,39500000.0,379,23,1.0,4,4,3,4,20000000,16.811242881518265
76,76,13300000.0,422,23,1.0,4,4,2,4,7000000,15.76142084987672
81,81,50000000.0,563,0,1.0,4,3,3,1,25000000,17.034386422832473
82,86,77200000.0,59,13,1.0,3,4,3,2,43500000,17.588271519047417
83,83,69400000.0,646,20,1.0,4,4,3,4,36500000,17.41282284594998
79,82,38500000.0,35,22,1.0,3,3,3,2,23000000,16.951004817371683
77,77,18900000.0,2,23,1.0,4,3,1,4,10500000,16.166885910365842
78,78,24800000.0,397,23,2.0,3,3,1,1,15500000,16.5563506464056
83,85,83700000.0,371,14,1.0,3,3,3,4,43500000,17.588271519047417
88,89,213700000.0,371,23,1.0,4,4,4,2,111000000,18.525040768285617
80,88,101300000.0,485,6,1.0,4,3,1,2,45000000,17.622173069956816
77,77,14300000.0,154,23,1.0,3,4,1,4,6500000,15.687312888712007
81,81,36600000.0,408,19,1.0,4,4,3,4,21500000,16.88356353960952
68,68,2200000.0,636,23,1.0,5,2,1,7,1000000,13.815511557963774
75,76,14100000.0,482,0,1.0,4,3,1,1,6500000,15.687312888712007
74,74,6600000.0,627,16,2.0,3,3,1,4,4099999,15.226497531674536
76,76,13200000.0,440,3,1.0,4,3,1,4,6000000,15.607270193858982
78,81,30200000.0,357,6,1.0,4,3,1,4,17000000,16.648723960844016
85,85,29600000.0,36,22,1.0,4,4,4,4,18500000,16.733281344102608
78,78,15625000.0,484,23,1.0,2,3,1,4,12500000,16.341239282272525
78,80,34600000.0,258,23,1.0,2,3,1,1,17500000,16.677711496036597
75,75,8300000.0,474,23,1.0,3,3,1,6,5500000,15.520258832020865
77,80,21400000.0,496,8,1.0,3,2,1,1,14500000,16.489659276356317
76,76,6900000.0,341,23,1.0,3,3,1,1,4600000,15.341567078850604
73,74,6600000.0,486,23,1.0,2,3,1,4,2900000,14.88022163978423
76,76,15800000.0,542,23,1.0,4,3,2,1,7500000,15.830413711839864
77,86,42800000.0,9,23,1.0,4,2,1,1,22500000,16.929025911619092
78,78,28400000.0,426,19,1.0,3,4,1,9,13500000,16.41820031748273
80,84,52400000.0,629,10,1.0,3,4,1,3,29500000,17.19990085520835
82,82,65099999.0,488,22,1.0,3,3,3,4,31000000,17.249497794707484
75,75,13200000.0,440,23,1.0,4,4,3,4,6000000,15.607270193858982
81,84,54100000.0,9,16,1.0,3,3,3,4,30500000,17.233237274364523
77,83,34700000.0,99,0,1.0,5,5,1,4,16500000,16.61887099947687
80,80,34000000.0,498,16,1.0,4,3,3,5,20000000,16.811242881518265
81,81,34700000.0,634,20,1.0,4,3,3,4,16500000,16.61887099947687
81,81,47500000.0,414,23,1.0,4,3,3,4,25000000,17.034386422832473
79,84,53300000.0,598,16,1.0,3,2,1,1,27000000,17.11134746100564
78,78,17500000.0,496,14,1.0,3,3,1,4,12500000,16.341239282272525
75,75,8300000.0,7,23,1.0,4,3,1,4,4900000,15.404745967162468
76,77,15100000.0,129,8,1.0,4,4,1,4,8500000,15.955576839107596
82,82,34400000.0,36,9,1.0,2,3,3,9,21500000,16.88356353960952
87,89,197500000.0,275,22,1.0,4,3,4,5,100000000,18.420680753952364
78,78,23800000.0,271,9,1.0,3,2,1,1,12500000,16.341239282272525
80,83,57300000.0,598,21,1.0,3,4,3,4,29000000,17.182806422433504
79,82,40500000.0,363,8,1.0,4,3,2,2,20500000,16.835935492889124
75,75,6875000.0,530,23,2.0,3,4,1,5,5500000,15.520258832020865
75,75,7300000.0,41,16,1.0,3,4,1,3,4400000,15.29711532616119
78,78,17000000.0,527,23,1.0,4,4,2,4,10000000,16.118095750958314
82,82,51900000.0,90,19,1.0,4,4,3,4,30500000,17.233237274364523
76,76,11000000.0,469,10,1.0,3,2,1,7,5500000,15.520258832020865
79,80,33600000.0,12,23,1.0,4,3,1,4,17000000,16.648723960844016
80,81,43500000.0,379,14,1.0,3,3,3,1,22000000,16.906553056777135
76,76,7400000.0,369,14,1.0,4,3,3,5,3900000,15.176487367510099
82,82,49400000.0,428,9,1.0,4,3,3,5,26000000,17.073607134447293
76,76,15800000.0,482,9,1.0,3,3,1,3,7500000,15.830413711839864
77,77,20000000.0,484,23,1.0,3,3,1,4,9500000,16.066802461833923
81,81,52300000.0,485,23,1.0,3,4,3,1,25500000,17.05418904934434
77,83,31400000.0,94,17,1.0,4,3,1,1,16500000,16.61887099947687
77,77,4400000.0,439,17,1.0,3,2,1,4,2100000,14.557448378884015
78,81,35900000.0,515,8,1.0,3,4,1,1,16500000,16.61887099947687
81,81,54600000.0,65,12,1.0,4,4,3,1,26000000,17.073607134447293
77,80,27700000.0,422,16,1.0,3,3,1,1,14000000,16.454567959008102
79,84,48400000.0,58,23,1.0,2,3,1,1,24500000,17.01418371633128
77,85,49400000.0,17,16,1.0,3,3,1,1,23500000,16.97251102166758
